ID,Date,Season,Team,Opponent,Venue,Rk_x,G-PK_x,Age_x,W_x,D_x,L_x,GD_x,Pts_x,GF_x,WR_x,Rk_y,G-PK_y,Age_y,W_y,D_y,L_y,GD_y,Pts_y,GF_y,WR_y
0,2020-08-02,2020,Trondheims-Ørn,Klepp,Home,7.0,24.0,21.9,8.0,5.0,9.0,4.0,29.0,26.0,0.36363636363636365,3.0,47.0,25.0,14.0,2.0,6.0,29.0,44.0,48.0,0.6363636363636364
1,2020-07-10,2020,Røa,Vålerenga,Away,6.0,35.0,22.9,7.0,8.0,7.0,5.0,29.0,40.0,0.3181818181818182,2.0,40.0,25.2,14.0,4.0,4.0,17.0,46.0,41.0,0.6363636363636364
2,2020-08-30,2020,Trondheims-Ørn,Arna-Bjørnar,Home,7.0,24.0,21.9,8.0,5.0,9.0,4.0,29.0,26.0,0.36363636363636365,9.0,26.0,22.4,6.0,5.0,11.0,-15.0,23.0,26.0,0.2727272727272727
3,2020-08-26,2020,Vålerenga,Lyn,Home,2.0,40.0,25.2,14.0,4.0,4.0,17.0,46.0,41.0,0.6363636363636364,10.0,22.0,20.1,4.0,8.0,10.0,-14.0,20.0,23.0,0.18181818181818182
4,2020-09-12,2020,Arna-Bjørnar,Kolbotn,Home,9.0,26.0,22.4,6.0,5.0,11.0,-15.0,23.0,26.0,0.2727272727272727,8.0,32.0,21.8,7.0,6.0,9.0,-4.0,27.0,35.0,0.3181818181818182
5,2020-10-31,2020,Klepp,Arna-Bjørnar,Home,3.0,47.0,25.0,14.0,2.0,6.0,29.0,44.0,48.0,0.6363636363636364,9.0,26.0,22.4,6.0,5.0,11.0,-15.0,23.0,26.0,0.2727272727272727
6,2020-08-08,2020,Sandviken,Trondheims-Ørn,Home,4.0,40.0,25.3,12.0,4.0,6.0,11.0,40.0,43.0,0.5454545454545454,7.0,24.0,21.9,8.0,5.0,9.0,4.0,29.0,26.0,0.36363636363636365
7,2020-11-15,2020,Kolbotn,Røa,Away,8.0,32.0,21.8,7.0,6.0,9.0,-4.0,27.0,35.0,0.3181818181818182,6.0,35.0,22.9,7.0,8.0,7.0,5.0,29.0,40.0,0.3181818181818182
8,2020-08-12,2020,Røa,Vålerenga,Home,6.0,35.0,22.9,7.0,8.0,7.0,5.0,29.0,40.0,0.3181818181818182,2.0,40.0,25.2,14.0,4.0,4.0,17.0,46.0,41.0,0.6363636363636364
9,2020-10-31,2020,Arna-Bjørnar,Klepp,Away,9.0,26.0,22.4,6.0,5.0,11.0,-15.0,23.0,26.0,0.2727272727272727,3.0,47.0,25.0,14.0,2.0,6.0,29.0,44.0,48.0,0.6363636363636364
10,2020-07-17,2020,LSK Kvinner,Røa,Away,1.0,44.0,25.3,15.0,5.0,2.0,33.0,50.0,51.0,0.6818181818181818,6.0,35.0,22.9,7.0,8.0,7.0,5.0,29.0,40.0,0.3181818181818182
11,2020-08-22,2020,Kolbotn,Arna-Bjørnar,Home,8.0,32.0,21.8,7.0,6.0,9.0,-4.0,27.0,35.0,0.3181818181818182,9.0,26.0,22.4,6.0,5.0,11.0,-15.0,23.0,26.0,0.2727272727272727
12,2020-10-04,2020,Lyn,Trondheims-Ørn,Away,10.0,22.0,20.1,4.0,8.0,10.0,-14.0,20.0,23.0,0.18181818181818182,7.0,24.0,21.9,8.0,5.0,9.0,4.0,29.0,26.0,0.36363636363636365
13,2020-11-07,2020,Klepp,Avaldsnes,Away,3.0,47.0,25.0,14.0,2.0,6.0,29.0,44.0,48.0,0.6363636363636364,5.0,36.0,24.4,9.0,7.0,6.0,7.0,34.0,40.0,0.4090909090909091
14,2020-07-18,2020,Lyn,Sandviken,Away,10.0,22.0,20.1,4.0,8.0,10.0,-14.0,20.0,23.0,0.18181818181818182,4.0,40.0,25.3,12.0,4.0,6.0,11.0,40.0,43.0,0.5454545454545454
15,2020-09-26,2020,LSK Kvinner,Røa,Home,1.0,44.0,25.3,15.0,5.0,2.0,33.0,50.0,51.0,0.6818181818181818,6.0,35.0,22.9,7.0,8.0,7.0,5.0,29.0,40.0,0.3181818181818182
16,2020-09-05,2020,Arna-Bjørnar,Avaldsnes,Home,9.0,26.0,22.4,6.0,5.0,11.0,-15.0,23.0,26.0,0.2727272727272727,5.0,36.0,24.4,9.0,7.0,6.0,7.0,34.0,40.0,0.4090909090909091
17,2020-10-17,2020,Røa,Sandviken,Away,6.0,35.0,22.9,7.0,8.0,7.0,5.0,29.0,40.0,0.3181818181818182,4.0,40.0,25.3,12.0,4.0,6.0,11.0,40.0,43.0,0.5454545454545454
18,2020-08-01,2020,LSK Kvinner,Lyn,Away,1.0,44.0,25.3,15.0,5.0,2.0,33.0,50.0,51.0,0.6818181818181818,10.0,22.0,20.1,4.0,8.0,10.0,-14.0,20.0,23.0,0.18181818181818182
19,2020-07-10,2020,Vålerenga,Røa,Home,2.0,40.0,25.2,14.0,4.0,4.0,17.0,46.0,41.0,0.6363636363636364,6.0,35.0,22.9,7.0,8.0,7.0,5.0,29.0,40.0,0.3181818181818182
20,2020-08-22,2020,Røa,Lyn,Away,6.0,35.0,22.9,7.0,8.0,7.0,5.0,29.0,40.0,0.3181818181818182,10.0,22.0,20.1,4.0,8.0,10.0,-14.0,20.0,23.0,0.18181818181818182
21,2020-10-16,2020,LSK Kvinner,Avaldsnes,Home,1.0,44.0,25.3,15.0,5.0,2.0,33.0,50.0,51.0,0.6818181818181818,5.0,36.0,24.4,9.0,7.0,6.0,7.0,34.0,40.0,0.4090909090909091
22,2020-09-12,2020,Kolbotn,Arna-Bjørnar,Away,8.0,32.0,21.8,7.0,6.0,9.0,-4.0,27.0,35.0,0.3181818181818182,9.0,26.0,22.4,6.0,5.0,11.0,-15.0,23.0,26.0,0.2727272727272727
23,2020-08-01,2020,Røa,Kolbotn,Away,6.0,35.0,22.9,7.0,8.0,7.0,5.0,29.0,40.0,0.3181818181818182,8.0,32.0,21.8,7.0,6.0,9.0,-4.0,27.0,35.0,0.3181818181818182
24,2020-09-12,2020,Trondheims-Ørn,Røa,Home,7.0,24.0,21.9,8.0,5.0,9.0,4.0,29.0,26.0,0.36363636363636365,6.0,35.0,22.9,7.0,8.0,7.0,5.0,29.0,40.0,0.3181818181818182
25,2020-10-03,2020,Klepp,Sandviken,Home,3.0,47.0,25.0,14.0,2.0,6.0,29.0,44.0,48.0,0.6363636363636364,4.0,40.0,25.3,12.0,4.0,6.0,11.0,40.0,43.0,0.5454545454545454
26,2020-07-25,2020,Lyn,Kolbotn,Home,10.0,22.0,20.1,4.0,8.0,10.0,-14.0,20.0,23.0,0.18181818181818182,8.0,32.0,21.8,7.0,6.0,9.0,-4.0,27.0,35.0,0.3181818181818182
27,2020-09-05,2020,Sandviken,Vålerenga,Away,4.0,40.0,25.3,12.0,4.0,6.0,11.0,40.0,43.0,0.5454545454545454,2.0,40.0,25.2,14.0,4.0,4.0,17.0,46.0,41.0,0.6363636363636364
28,2020-07-18,2020,Arna-Bjørnar,Avaldsnes,Away,9.0,26.0,22.4,6.0,5.0,11.0,-15.0,23.0,26.0,0.2727272727272727,5.0,36.0,24.4,9.0,7.0,6.0,7.0,34.0,40.0,0.4090909090909091
29,2020-09-05,2020,Vålerenga,Sandviken,Home,2.0,40.0,25.2,14.0,4.0,4.0,17.0,46.0,41.0,0.6363636363636364,4.0,40.0,25.3,12.0,4.0,6.0,11.0,40.0,43.0,0.5454545454545454
30,2020-09-27,2020,Vålerenga,Klepp,Home,2.0,40.0,25.2,14.0,4.0,4.0,17.0,46.0,41.0,0.6363636363636364,3.0,47.0,25.0,14.0,2.0,6.0,29.0,44.0,48.0,0.6363636363636364
31,2020-08-30,2020,Vålerenga,Kolbotn,Away,2.0,40.0,25.2,14.0,4.0,4.0,17.0,46.0,41.0,0.6363636363636364,8.0,32.0,21.8,7.0,6.0,9.0,-4.0,27.0,35.0,0.3181818181818182
32,2020-11-22,2020,Kolbotn,Medkila,Home,8.0,32.0,21.8,7.0,6.0,9.0,-4.0,27.0,35.0,0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2020-07-26,2020,Klepp,LSK Kvinner,Away,3.0,47.0,25.0,14.0,2.0,6.0,29.0,44.0,48.0,0.6363636363636364,1.0,44.0,25.3,15.0,5.0,2.0,33.0,50.0,51.0,0.6818181818181818
34,2020-07-24,2020,Avaldsnes,Vålerenga,Away,5.0,36.0,24.4,9.0,7.0,6.0,7.0,34.0,40.0,0.4090909090909091,2.0,40.0,25.2,14.0,4.0,4.0,17.0,46.0,41.0,0.6363636363636364
35,2020-10-04,2020,Trondheims-Ørn,Lyn,Home,7.0,24.0,21.9,8.0,5.0,9.0,4.0,29.0,26.0,0.36363636363636365,10.0,22.0,20.1,4.0,8.0,10.0,-14.0,20.0,23.0,0.18181818181818182
36,2020-11-07,2020,Lyn,Vålerenga,Home,10.0,22.0,20.1,4.0,8.0,10.0,-14.0,20.0,23.0,0.18181818181818182,2.0,40.0,25.2,14.0,4.0,4.0,17.0,46.0,41.0,0.6363636363636364
37,2020-11-07,2020,Trondheims-Ørn,Sandviken,Home,7.0,24.0,21.9,8.0,5.0,9.0,4.0,29.0,26.0,0.36363636363636365,4.0,40.0,25.3,12.0,4.0,6.0,11.0,40.0,43.0,0.5454545454545454
38,2020-12-06,2020,Trondheims-Ørn,Klepp,Away,7.0,24.0,21.9,8.0,5.0,9.0,4.0,29.0,26.0,0.36363636363636365,3.0,47.0,25.0,14.0,2.0,6.0,29.0,44.0,48.0,0.6363636363636364
39,2020-08-15,2020,Lyn,Arna-Bjørnar,Away,10.0,22.0,20.1,4.0,8.0,10.0,-14.0,20.0,23.0,0.18181818181818182,9.0,26.0,22.4,6.0,5.0,11.0,-15.0,23.0,26.0,0.2727272727272727
40,2020-10-03,2020,LSK Kvinner,Arna-Bjørnar,Away,1.0,44.0,25.3,15.0,5.0,2.0,33.0,50.0,51.0,0.6818181818181818,9.0,26.0,22.4,6.0,5.0,11.0,-15.0,23.0,26.0,0.2727272727272727
41,2020-08-01,2020,Vålerenga,Arna-Bjørnar,Away,2.0,40.0,25.2,14.0,4.0,4.0,17.0,46.0,41.0,0.6363636363636364,9.0,26.0,22.4,6.0,5.0,11.0,-15.0,23.0,26.0,0.2727272727272727
42,2020-08-16,2020,Trondheims-Ørn,Vålerenga,Home,7.0,24.0,21.9,8.0,5.0,9.0,4.0,29.0,26.0,0.36363636363636365,2.0,40.0,25.2,14.0,4.0,4.0,17.0,46.0,41.0,0.6363636363636364
43,2020-11-07,2020,Sandviken,Trondheims-Ørn,Away,4.0,40.0,25.3,12.0,4.0,6.0,11.0,40.0,43.0,0.5454545454545454,7.0,24.0,21.9,8.0,5.0,9.0,4.0,29.0,26.0,0.36363636363636365
44,2020-07-18,2020,Avaldsnes,Arna-Bjørnar,Home,5.0,36.0,24.4,9.0,7.0,6.0,7.0,34.0,40.0,0.4090909090909091,9.0,26.0,22.4,6.0,5.0,11.0,-15.0,23.0,26.0,0.2727272727272727
45,2020-09-26,2020,Trondheims-Ørn,Kolbotn,Away,7.0,24.0,21.9,8.0,5.0,9.0,4.0,29.0,26.0,0.36363636363636365,8.0,32.0,21.8,7.0,6.0,9.0,-4.0,27.0,35.0,0.3181818181818182
46,2020-07-12,2020,LSK Kvinner,Sandviken,Home,1.0,44.0,25.3,15.0,5.0,2.0,33.0,50.0,51.0,0.6818181818181818,4.0,40.0,25.3,12.0,4.0,6.0,11.0,40.0,43.0,0.5454545454545454
47,2020-08-22,2020,Sandviken,Klepp,Home,4.0,40.0,25.3,12.0,4.0,6.0,11.0,40.0,43.0,0.5454545454545454,3.0,47.0,25.0,14.0,2.0,6.0,29.0,44.0,48.0,0.6363636363636364
48,2020-08-12,2020,Vålerenga,Røa,Away,2.0,40.0,25.2,14.0,4.0,4.0,17.0,46.0,41.0,0.6363636363636364,6.0,35.0,22.9,7.0,8.0,7.0,5.0,29.0,40.0,0.3181818181818182
49,2020-10-18,2020,Lyn,Arna-Bjørnar,Home,10.0,22.0,20.1,4.0,8.0,10.0,-14.0,20.0,23.0,0.18181818181818182,9.0,26.0,22.4,6.0,5.0,11.0,-15.0,23.0,26.0,0.2727272727272727
50,2020-09-05,2020,LSK Kvinner,Trondheims-Ørn,Home,1.0,44.0,25.3,15.0,5.0,2.0,33.0,50.0,51.0,0.6818181818181818,7.0,24.0,21.9,8.0,5.0,9.0,4.0,29.0,26.0,0.36363636363636365
51,2020-07-11,2020,Klepp,Arna-Bjørnar,Away,3.0,47.0,25.0,14.0,2.0,6.0,29.0,44.0,48.0,0.6363636363636364,9.0,26.0,22.4,6.0,5.0,11.0,-15.0,23.0,26.0,0.2727272727272727
52,2020-08-15,2020,Avaldsnes,LSK Kvinner,Home,5.0,36.0,24.4,9.0,7.0,6.0,7.0,34.0,40.0,0.4090909090909091,1.0,44.0,25.3,15.0,5.0,2.0,33.0,50.0,51.0,0.6818181818181818
53,2020-10-03,2020,Kolbotn,Avaldsnes,Away,8.0,32.0,21.8,7.0,6.0,9.0,-4.0,27.0,35.0,0.3181818181818182,5.0,36.0,24.4,9.0,7.0,6.0,7.0,34.0,40.0,0.4090909090909091
54,2020-10-18,2020,Klepp,Kolbotn,Away,3.0,47.0,25.0,14.0,2.0,6.0,29.0,44.0,48.0,0.6363636363636364,8.0,32.0,21.8,7.0,6.0,9.0,-4.0,27.0,35.0,0.3181818181818182
55,2020-08-16,2020,Sandviken,Kolbotn,Away,4.0,40.0,25.3,12.0,4.0,6.0,11.0,40.0,43.0,0.5454545454545454,8.0,32.0,21.8,7.0,6.0,9.0,-4.0,27.0,35.0,0.3181818181818182
56,2020-08-01,2020,Kolbotn,Røa,Home,8.0,32.0,21.8,7.0,6.0,9.0,-4.0,27.0,35.0,0.3181818181818182,6.0,35.0,22.9,7.0,8.0,7.0,5.0,29.0,40.0,0.3181818181818182
57,2020-07-10,2020,Kolbotn,Avaldsnes,Home,8.0,32.0,21.8,7.0,6.0,9.0,-4.0,27.0,35.0,0.3181818181818182,5.0,36.0,24.4,9.0,7.0,6.0,7.0,34.0,40.0,0.4090909090909091
58,2020-07-24,2020,Vålerenga,Avaldsnes,Home,2.0,40.0,25.2,14.0,4.0,4.0,17.0,46.0,41.0,0.6363636363636364,5.0,36.0,24.4,9.0,7.0,6.0,7.0,34.0,40.0,0.4090909090909091
59,2020-10-31,2020,Lyn,Røa,Away,10.0,22.0,20.1,4.0,8.0,10.0,-14.0,20.0,23.0,0.18181818181818182,6.0,35.0,22.9,7.0,8.0,7.0,5.0,29.0,40.0,0.3181818181818182
60,2020-07-25,2020,Røa,Sandviken,Home,6.0,35.0,22.9,7.0,8.0,7.0,5.0,29.0,40.0,0.3181818181818182,4.0,40.0,25.3,12.0,4.0,6.0,11.0,40.0,43.0,0.5454545454545454
61,2020-08-08,2020,Trondheims-Ørn,Sandviken,Away,7.0,24.0,21.9,8.0,5.0,9.0,4.0,29.0,26.0,0.36363636363636365,4.0,40.0,25.3,12.0,4.0,6.0,11.0,40.0,43.0,0.5454545454545454
62,2020-10-03,2020,Avaldsnes,Kolbotn,Home,5.0,36.0,24.4,9.0,7.0,6.0,7.0,34.0,40.0,0.4090909090909091,8.0,32.0,21.8,7.0,6.0,9.0,-4.0,27.0,35.0,0.3181818181818182
63,2020-10-16,2020,Avaldsnes,LSK Kvinner,Away,5.0,36.0,24.4,9.0,7.0,6.0,7.0,34.0,40.0,0.4090909090909091,1.0,44.0,25.3,15.0,5.0,2.0,33.0,50.0,51.0,0.6818181818181818
64,2020-07-18,2020,Klepp,Vålerenga,Home,3.0,47.0,25.0,14.0,2.0,6.0,29.0,44.0,48.0,0.6363636363636364,2.0,40.0,25.2,14.0,4.0,4.0,17.0,46.0,41.0,0.6363636363636364
65,2020-08-16,2020,Vålerenga,Trondheims-Ørn,Away,2.0,40.0,25.2,14.0,4.0,4.0,17.0,46.0,41.0,0.6363636363636364,7.0,24.0,21.9,8.0,5.0,9.0,4.0,29.0,26.0,0.36363636363636365
66,2020-08-01,2020,Lyn,LSK Kvinner,Home,10.0,22.0,20.1,4.0,8.0,10.0,-14.0,20.0,23.0,0.18181818181818182,1.0,44.0,25.3,15.0,5.0,2.0,33.0,50.0,51.0,0.6818181818181818
67,2020-08-22,2020,Avaldsnes,Trondheims-Ørn,Home,5.0,36.0,24.4,9.0,7.0,6.0,7.0,34.0,40.0,0.4090909090909091,7.0,24.0,21.9,8.0,5.0,9.0,4.0,29.0,26.0,0.36363636363636365
68,2020-08-29,2020,Røa,Avaldsnes,Away,6.0,35.0,22.9,7.0,8.0,7.0,5.0,29.0,40.0,0.3181818181818182,5.0,36.0,24.4,9.0,7.0,6.0,7.0,34.0,40.0,0.4090909090909091
69,2020-08-09,2020,Arna-Bjørnar,LSK Kvinner,Away,9.0,26.0,22.4,6.0,5.0,11.0,-15.0,23.0,26.0,0.2727272727272727,1.0,44.0,25.3,15.0,5.0,2.0,33.0,50.0,51.0,0.6818181818181818
70,2020-11-22,2020,Medkila,Kolbotn,Away,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,32.0,21.8,7.0,6.0,9.0,-4.0,27.0,35.0,0.3181818181818182
71,2020-09-12,2020,Lyn,Sandviken,Home,10.0,22.0,20.1,4.0,8.0,10.0,-14.0,20.0,23.0,0.18181818181818182,4.0,40.0,25.3,12.0,4.0,6.0,11.0,40.0,43.0,0.5454545454545454
72,2020-08-15,2020,LSK Kvinner,Avaldsnes,Away,1.0,44.0,25.3,15.0,5.0,2.0,33.0,50.0,51.0,0.6818181818181818,5.0,36.0,24.4,9.0,7.0,6.0,7.0,34.0,40.0,0.4090909090909091
73,2020-08-22,2020,Arna-Bjørnar,Kolbotn,Away,9.0,26.0,22.4,6.0,5.0,11.0,-15.0,23.0,26.0,0.2727272727272727,8.0,32.0,21.8,7.0,6.0,9.0,-4.0,27.0,35.0,0.3181818181818182
74,2020-08-26,2020,Klepp,Avaldsnes,Home,3.0,47.0,25.0,14.0,2.0,6.0,29.0,44.0,48.0,0.6363636363636364,5.0,36.0,24.4,9.0,7.0,6.0,7.0,34.0,40.0,0.4090909090909091
75,2020-09-12,2020,LSK Kvinner,Klepp,Away,1.0,44.0,25.3,15.0,5.0,2.0,33.0,50.0,51.0,0.6818181818181818,3.0,47.0,25.0,14.0,2.0,6.0,29.0,44.0,48.0,0.6363636363636364
76,2020-08-01,2020,Arna-Bjørnar,Vålerenga,Home,9.0,26.0,22.4,6.0,5.0,11.0,-15.0,23.0,26.0,0.2727272727272727,2.0,40.0,25.2,14.0,4.0,4.0,17.0,46.0,41.0,0.6363636363636364
77,2020-10-18,2020,Vålerenga,Trondheims-Ørn,Home,2.0,40.0,25.2,14.0,4.0,4.0,17.0,46.0,41.0,0.6363636363636364,7.0,24.0,21.9,8.0,5.0,9.0,4.0,29.0,26.0,0.36363636363636365
78,2020-10-18,2020,Trondheims-Ørn,Vålerenga,Away,7.0,24.0,21.9,8.0,5.0,9.0,4.0,29.0,26.0,0.36363636363636365,2.0,40.0,25.2,14.0,4.0,4.0,17.0,46.0,41.0,0.6363636363636364
79,2020-09-27,2020,Klepp,Vålerenga,Away,3.0,47.0,25.0,14.0,2.0,6.0,29.0,44.0,48.0,0.6363636363636364,2.0,40.0,25.2,14.0,4.0,4.0,17.0,46.0,41.0,0.6363636363636364
80,2020-07-10,2020,Avaldsnes,Kolbotn,Away,5.0,36.0,24.4,9.0,7.0,6.0,7.0,34.0,40.0,0.4090909090909091,8.0,32.0,21.8,7.0,6.0,9.0,-4.0,27.0,35.0,0.3181818181818182
81,2020-07-19,2020,Trondheims-Ørn,Kolbotn,Home,7.0,24.0,21.9,8.0,5.0,9.0,4.0,29.0,26.0,0.36363636363636365,8.0,32.0,21.8,7.0,6.0,9.0,-4.0,27.0,35.0,0.3181818181818182
82,2020-10-18,2020,Kolbotn,Klepp,Home,8.0,32.0,21.8,7.0,6.0,9.0,-4.0,27.0,35.0,0.3181818181818182,3.0,47.0,25.0,14.0,2.0,6.0,29.0,44.0,48.0,0.6363636363636364
83,2020-07-26,2020,LSK Kvinner,Klepp,Home,1.0,44.0,25.3,15.0,5.0,2.0,33.0,50.0,51.0,0.6818181818181818,3.0,47.0,25.0,14.0,2.0,6.0,29.0,44.0,48.0,0.6363636363636364
84,2020-08-07,2020,Avaldsnes,Røa,Away,5.0,36.0,24.4,9.0,7.0,6.0,7.0,34.0,40.0,0.4090909090909091,6.0,35.0,22.9,7.0,8.0,7.0,5.0,29.0,40.0,0.3181818181818182
85,2020-08-15,2020,Røa,Klepp,Away,6.0,35.0,22.9,7.0,8.0,7.0,5.0,29.0,40.0,0.3181818181818182,3.0,47.0,25.0,14.0,2.0,6.0,29.0,44.0,48.0,0.6363636363636364
86,2020-11-07,2020,Arna-Bjørnar,Røa,Home,9.0,26.0,22.4,6.0,5.0,11.0,-15.0,23.0,26.0,0.2727272727272727,6.0,35.0,22.9,7.0,8.0,7.0,5.0,29.0,40.0,0.3181818181818182
87,2020-09-12,2020,Røa,Trondheims-Ørn,Away,6.0,35.0,22.9,7.0,8.0,7.0,5.0,29.0,40.0,0.3181818181818182,7.0,24.0,21.9,8.0,5.0,9.0,4.0,29.0,26.0,0.36363636363636365
88,2020-09-12,2020,Avaldsnes,Vålerenga,Home,5.0,36.0,24.4,9.0,7.0,6.0,7.0,34.0,40.0,0.4090909090909091,2.0,40.0,25.2,14.0,4.0,4.0,17.0,46.0,41.0,0.6363636363636364
89,2020-07-18,2020,Vålerenga,Klepp,Away,2.0,40.0,25.2,14.0,4.0,4.0,17.0,46.0,41.0,0.6363636363636364,3.0,47.0,25.0,14.0,2.0,6.0,29.0,44.0,48.0,0.6363636363636364
90,2020-09-27,2020,Avaldsnes,Lyn,Away,5.0,36.0,24.4,9.0,7.0,6.0,7.0,34.0,40.0,0.4090909090909091,10.0,22.0,20.1,4.0,8.0,10.0,-14.0,20.0,23.0,0.18181818181818182
